[00:20.02] How many lies do we have to tell?
[00:24.99] To keep from saying that I wish you well
[00:29.83] How many times I said I'm moving on?
[00:34.45] How many times that false alarm goes off (goes off), goes off (goes off)?
[00:43.54] I know, I'll see you tomorrow
[00:47.18] 'Cause I'm bad at letting you go, letting you go
[00:50.23] Letting you go, letting you go
[00:52.72] Moving on, moving on
[00:55.24] Moving on, moving on
[00:57.50] I'm ready to go, ready to go
[01:00.08] Ready to throw, ready to throw
[01:02.77] You're my boomerang, boomerang
[01:05.32] You're my boomerang, boomerang
[01:08.13] How many tears do we have to cry?
[01:12.82] How many sleepless, lonely nights?
[01:16.81] To work it out, is it worth it now?
[01:19.09] Should we go ahead, or should we turn around?
[01:21.91] I know, I'll see you tomorrow
[01:25.73] 'Cause I'm bad at letting you go, letting you go
[01:28.77] Letting you go, letting you go
[01:31.25] Moving on, moving on
[01:33.62] Moving on, moving on
[01:36.02] I'm ready to go, ready to go
[01:38.48] Ready to throw, ready to throw
[01:41.29] You're my boomerang, boomerang
[01:43.80] You're my boomerang, boomerang
[01:46.33] Just because it isn't easy, doesn't mean that it is wrong
[01:55.56] Everything that we've been working on, working on so long
[02:03.98] 
[02:15.26] You're my boomerang, boomerang
[02:17.49] You're my boomerang, boomerang
[02:19.82] You're my boomerang, boomerang
[02:22.38] You're my boome-boome-boomerang-rang
[02:24.28] Letting you go, letting you go (boomerang-rang)
[02:26.86] Letting you go, letting you go (boomerang-rang)
[02:28.83] Moving on, moving on (boomerang-rang)
[02:31.33] Moving on, moving on (boomerang-rang)
[02:33.74] I'm ready to go, ready to go (boomerang-rang)
[02:36.07] Ready to throw, ready to throw
[02:38.95] You're my boomerang, boomerang
[02:41.40] You're my boomerang, boomerang-rang
[02:43.58] Letting you go, letting you go (boomerang-rang)
[02:45.63] Letting you go, letting you go (boomerang-rang)
[02:48.06] Moving on, moving on (boomerang-rang)
[02:50.50] Moving on, moving on (boomerang-rang)
[02:52.97] I'm ready to go, ready to go (boomerang-rang)
[02:55.28] Ready to throw, ready to throw
[02:58.01] You're my boomerang, boomerang
[03:00.67] You're my boomerang, boomerang
[03:02.10]
