[00:34.53] のびた人陰を 舗道に並べ
[00:41.28] 夕闇のなかをキミと歩いてる
[00:47.75] 手を繋いでいつまでもずっと
[00:54.54] そばにいれたなら泣けちゃうくらい
[01:02.50] 風が冷たくなって
[01:09.19] 冬の匂いがした
[01:15.73] そろそろこの街に
[01:21.28] キミと近付ける季節がくる
[01:29.05] 今年、最初の雪の華を
[01:35.32] 2人寄り添って
[01:39.01] 眺めているこの時間に
[01:42.92] シアワセがあふれだす
[01:46.79] 甘えとか弱さじゃない
[01:51.87] ただ、キミを愛してる
[01:55.85] 心からそう思った
[02:03.08] 
[02:13.04] キミがいると どんなことでも
[02:19.51] 乗りきれるような気持ちになってる
[02:26.15] こんな日々がいつまでもきっと
[02:32.91] 続いてくことを祈っているよ
[02:40.78] 風が窓を揺らした
[02:47.46] 夜は揺り起こして
[02:54.18] どんな悲しいことも
[02:59.54] ボクが笑顔へと変えてあげる
[03:07.48] 舞い落ちてきた雪の華が
[03:13.52] 窓の外ずっと
[03:17.35] 降りやむことを知らずに
[03:21.16] ボクらの街を染める
[03:24.91] 誰かのために何かを
[03:30.15] したいと思えるのが
[03:34.15] 愛ということを知った
[03:41.33] もし、キミを失ったとしたなら
[03:47.88] 星になってキミを照らすだろう
[03:54.04] 笑顔も 涙に濡れてる夜も
[04:00.79] いつもいつでもそばにいるよ
[04:10.92] 今年、最初の雪の華を
[04:17.04] 2人寄り添って
[04:20.88] 眺めているこの時間に
[04:24.55] シアワセがあふれだす
[04:28.23] 甘えとか弱さじゃない
[04:33.53] ただ、キミとずっと
[04:37.38] このまま一緒にいたい
[04:41.15] 素直にそう思える
[04:45.05] この街に降り積もってく
[04:50.17] 真っ白な雪の華
[04:54.13] 2人の胸にそっと想い出を描くよ
[05:01.21] これからもキミとずっと
[05:11.31] 
